,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0
User Picked,9.0,9.0,10.0,12.0,11.0,9.0,13.0,11.0,7.0,10.0,12.0,12.0,9.0,11.0,13.0,9.0,11.0,7.0,7.0,10.0
Cost,618.0,618.0,616.0,621.0,618.0,623.0,618.0,618.0,618.0,616.0,618.0,623.0,621.0,621.0,618.0,616.0,618.0,627.0,618.0,616.0
Selected Points,22.22222222222222,22.22222222222222,10.0,33.33333333333333,18.181818181818183,22.22222222222222,7.6923076923076925,18.181818181818183,28.57142857142857,10.0,16.666666666666664,33.33333333333333,44.44444444444444,36.36363636363637,7.6923076923076925,11.11111111111111,18.181818181818183,42.857142857142854,28.57142857142857,10.0
Known Defects,66.0,66.0,66.0,67.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,68.0,67.0,67.0,66.0,66.0,66.0,67.0,66.0,66.0
Features Used,73.0,73.0,73.0,73.0,73.0,73.0,74.0,73.0,73.0,73.0,73.0,75.0,74.0,74.0,74.0,73.0,73.0,74.0,73.0,73.0
Score,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.01,0.01,0.01,0.01,0.015,0.01,0.01,0.01
Time,7.29830527305603,7.459176301956177,7.309712886810303,7.366574287414551,7.613111734390259,7.550637483596802,7.659123182296753,7.459655523300171,7.686331272125244,7.372419834136963,7.298290967941284,7.226755857467651,7.198695182800293,7.2723939418792725,7.24303126335144,7.228483200073242,7.288235187530518,7.22509765625,7.235828161239624,7.306963682174683
