,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
User Picked,4.0,12.0,4.0,8.0,6.0,4.0,8.0,9.0,8.0,3.0,3.0,7.0,4.0,9.0,6.0,4.0,5.0,10.0,12.0,4.0
Cost,211.0,195.0,197.0,202.0,205.0,200.0,198.0,206.0,202.0,196.0,196.0,197.0,200.0,206.0,205.0,211.0,206.0,195.0,195.0,211.0
Selected Points,75.0,41.66666666666667,75.0,50.0,66.66666666666666,75.0,62.5,55.55555555555556,50.0,66.66666666666666,66.66666666666666,57.14285714285714,75.0,55.55555555555556,66.66666666666666,75.0,60.0,50.0,41.66666666666667,75.0
Known Defects,27.0,28.0,28.0,29.0,29.0,27.0,28.0,27.0,29.0,27.0,27.0,27.0,27.0,27.0,29.0,27.0,28.0,28.0,28.0,27.0
Features Used,24.0,25.0,25.0,26.0,27.0,24.0,26.0,25.0,26.0,23.0,23.0,24.0,24.0,25.0,27.0,24.0,25.0,25.0,25.0,24.0
Score,0.01,0.01,0.015,0.015,0.015,0.01,0.01,0.01,0.015,0.015,0.015,0.01,0.01,0.01,0.015,0.01,0.01,0.01,0.01,0.01
Time,1.772169828414917,1.786595344543457,1.796072244644165,1.7817919254302979,1.7902581691741943,1.7645132541656494,1.7931904792785645,1.8462340831756592,1.7619884014129639,1.7950618267059326,1.8463692665100098,1.8436529636383057,1.8690361976623535,1.8871183395385742,1.856889247894287,1.8021774291992188,1.8485238552093506,1.833946943283081,1.8042864799499512,1.8561148643493652
