,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
User Picked,10.0,15.0,9.0,11.0,14.0,13.0,10.0,11.0,11.0,13.0,14.0,10.0,14.0,15.0,14.0,11.0,9.0,10.0,12.0,13.0
Cost,154.0,164.0,156.0,163.0,161.0,160.0,156.0,159.0,163.0,163.0,162.0,158.0,168.0,161.0,163.0,159.0,156.0,163.0,164.0,159.0
Selected Points,20.0,33.33333333333333,33.33333333333333,36.36363636363637,50.0,30.76923076923077,30.0,36.36363636363637,36.36363636363637,46.15384615384615,35.714285714285715,30.0,50.0,33.33333333333333,35.714285714285715,45.45454545454545,33.33333333333333,30.0,41.66666666666667,46.15384615384615
Known Defects,20.0,21.0,19.0,22.0,22.0,21.0,19.0,19.0,22.0,22.0,20.0,21.0,23.0,22.0,20.0,21.0,21.0,21.0,23.0,22.0
Features Used,18.0,19.0,19.0,20.0,21.0,18.0,19.0,20.0,20.0,20.0,21.0,17.0,19.0,18.0,22.0,20.0,19.0,18.0,20.0,19.0
Score,0.015,0.01,0.01,0.015,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.01,0.01
Time,2.227813720703125,2.447251558303833,2.3439900875091553,2.3798623085021973,2.4234516620635986,2.376767158508301,2.235748529434204,2.2790820598602295,2.260694742202759,2.2342159748077393,2.251070261001587,2.3935952186584473,2.3895599842071533,2.398510217666626,2.2479755878448486,2.2362375259399414,2.265048027038574,2.2505340576171875,2.256537914276123,2.4469895362854004
