,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0
User Picked,9.0,9.0,7.0,9.0,10.0,8.0,8.0,9.0,7.0,10.0,10.0,9.0,9.0,13.0,9.0,12.0,9.0,11.0,7.0,8.0
Cost,588.0,590.0,597.0,590.0,591.0,591.0,591.0,590.0,591.0,591.0,590.0,591.0,589.0,591.0,590.0,592.0,590.0,592.0,591.0,593.0
Selected Points,22.22222222222222,33.33333333333333,57.14285714285714,33.33333333333333,30.0,37.5,37.5,33.33333333333333,42.857142857142854,30.0,30.0,33.33333333333333,33.33333333333333,30.76923076923077,33.33333333333333,33.33333333333333,33.33333333333333,36.36363636363637,28.57142857142857,37.5
Known Defects,65.0,65.0,66.0,65.0,64.0,66.0,66.0,65.0,66.0,64.0,65.0,64.0,66.0,66.0,65.0,65.0,65.0,65.0,66.0,66.0
Features Used,64.0,64.0,66.0,64.0,65.0,64.0,64.0,64.0,64.0,65.0,64.0,65.0,65.0,65.0,64.0,66.0,64.0,66.0,64.0,65.0
Score,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Time,7.729345798492432,7.716979503631592,7.677400827407837,7.631903171539307,7.633286952972412,7.623080730438232,7.659054517745972,7.7085511684417725,7.767252683639526,7.810546398162842,7.798716306686401,8.129738569259644,8.04676342010498,7.9224183559417725,7.762110710144043,7.722723960876465,7.829422950744629,7.7142345905303955,7.986351728439331,7.758789777755737
