,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
User Picked,13.0,11.0,6.0,9.0,8.0,7.0,4.0,5.0,7.0,10.0,9.0,4.0,5.0,11.0,11.0,8.0,11.0,7.0,7.0,8.0
Cost,582.0,584.0,583.0,583.0,583.0,583.0,579.0,587.0,583.0,583.0,583.0,580.0,587.0,584.0,584.0,584.0,583.0,583.0,583.0,583.0
Selected Points,30.76923076923077,36.36363636363637,50.0,33.33333333333333,50.0,42.857142857142854,50.0,60.0,57.14285714285714,40.0,44.44444444444444,25.0,60.0,36.36363636363637,36.36363636363637,50.0,45.45454545454545,42.857142857142854,42.857142857142854,50.0
Known Defects,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,66.0
Features Used,69.0,69.0,71.0,71.0,70.0,71.0,70.0,70.0,70.0,70.0,71.0,69.0,70.0,69.0,69.0,71.0,70.0,69.0,71.0,70.0
Score,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Time,7.3890814781188965,7.590277433395386,7.483981132507324,7.423974990844727,7.426058769226074,7.354604959487915,7.420711278915405,7.549153566360474,7.461849927902222,7.344527006149292,7.446568727493286,7.315093278884888,7.3170366287231445,7.3633856773376465,7.357097864151001,7.3817455768585205,7.370737314224243,7.380718231201172,7.313664674758911,7.441615581512451
