,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
User Picked,4.0,6.0,10.0,8.0,12.0,5.0,9.0,8.0,12.0,8.0,6.0,6.0,11.0,12.0,10.0,10.0,11.0,12.0,7.0,9.0
Cost,547.0,549.0,547.0,546.0,549.0,547.0,546.0,544.0,549.0,549.0,549.0,548.0,548.0,548.0,547.0,546.0,550.0,549.0,545.0,546.0
Selected Points,50.0,50.0,30.0,37.5,33.33333333333333,40.0,33.33333333333333,25.0,33.33333333333333,50.0,50.0,50.0,36.36363636363637,33.33333333333333,30.0,30.0,36.36363636363637,33.33333333333333,28.57142857142857,33.33333333333333
Known Defects,51.0,50.0,50.0,50.0,50.0,51.0,51.0,50.0,50.0,51.0,51.0,50.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,51.0
Features Used,68.0,69.0,69.0,67.0,68.0,68.0,66.0,66.0,69.0,68.0,68.0,68.0,67.0,67.0,68.0,68.0,69.0,69.0,67.0,66.0
Score,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Time,7.6497766971588135,7.403838157653809,7.527307033538818,7.418665170669556,7.454620599746704,7.357052326202393,7.679828882217407,7.59578537940979,7.563102722167969,7.568405628204346,7.669215679168701,7.775377988815308,7.672280311584473,7.629924297332764,7.530452728271484,7.688190221786499,7.763764142990112,7.449848651885986,7.490276336669922,7.519285440444946
