,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
User Picked,12.0,9.0,9.0,9.0,11.0,11.0,7.0,10.0,10.0,8.0,8.0,10.0,10.0,11.0,8.0,11.0,11.0,7.0,11.0,12.0
Cost,228.0,228.0,227.0,230.0,226.0,225.0,229.0,225.0,225.0,230.0,228.0,229.0,226.0,226.0,227.0,230.0,227.0,228.0,230.0,226.0
Selected Points,66.66666666666666,66.66666666666666,77.77777777777779,77.77777777777779,63.63636363636363,63.63636363636363,71.42857142857143,80.0,60.0,75.0,75.0,60.0,60.0,63.63636363636363,87.5,63.63636363636363,63.63636363636363,71.42857142857143,54.54545454545454,66.66666666666666
Known Defects,32.0,31.0,31.0,31.0,31.0,31.0,30.0,31.0,30.0,31.0,30.0,32.0,32.0,31.0,31.0,33.0,31.0,30.0,31.0,32.0
Features Used,24.0,25.0,26.0,26.0,25.0,26.0,26.0,26.0,25.0,26.0,27.0,25.0,26.0,25.0,26.0,26.0,24.0,27.0,24.0,24.0
Score,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0025,0.0015,0.0025,0.0015,0.0015,0.0025,0.002,0.0015,0.0015,0.0015,0.0015
Time,27.924827575683594,28.07096576690674,28.373906135559082,28.227624893188477,29.537810802459717,28.98067307472229,29.065690994262695,29.162046432495117,28.94090509414673,29.034671306610107,28.860925912857056,28.85767889022827,29.28299117088318,29.144643306732178,30.599384784698486,29.855517148971558,30.297832012176514,29.5563702583313,29.502997159957886,30.71209716796875
