,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
User Picked,5.0,5.0,12.0,9.0,9.0,5.0,12.0,5.0,5.0,9.0,5.0,9.0,5.0,7.0,9.0,5.0,5.0,5.0,7.0,1.0
Cost,588.0,588.0,593.0,588.0,593.0,588.0,593.0,588.0,591.0,593.0,588.0,588.0,591.0,590.0,593.0,591.0,591.0,591.0,590.0,590.0
Selected Points,20.0,20.0,33.33333333333333,11.11111111111111,33.33333333333333,20.0,33.33333333333333,20.0,40.0,33.33333333333333,20.0,11.11111111111111,40.0,42.857142857142854,33.33333333333333,40.0,40.0,40.0,42.857142857142854,100.0
Known Defects,71.0,71.0,72.0,71.0,72.0,71.0,72.0,71.0,72.0,72.0,71.0,71.0,72.0,71.0,72.0,72.0,72.0,72.0,71.0,72.0
Features Used,57.0,57.0,59.0,58.0,58.0,57.0,59.0,57.0,59.0,58.0,57.0,58.0,59.0,58.0,58.0,59.0,59.0,59.0,58.0,58.0
Score,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Time,7.920402765274048,7.504418611526489,7.673448324203491,9.29075288772583,8.282663583755493,7.826707601547241,7.663120269775391,7.662912368774414,7.614715814590454,7.510810852050781,7.664297103881836,7.550358533859253,7.574673175811768,7.69782280921936,7.770271062850952,7.709868669509888,7.693188667297363,7.5232977867126465,7.583828687667847,7.582218408584595
