,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
User Picked,8.0,6.0,5.0,4.0,3.0,7.0,6.0,4.0,3.0,8.0,6.0,7.0,3.0,3.0,8.0,6.0,3.0,3.0,8.0,3.0
Cost,292.0,300.0,299.0,303.0,296.0,291.0,300.0,303.0,296.0,292.0,300.0,291.0,296.0,296.0,292.0,300.0,296.0,296.0,292.0,296.0
Selected Points,25.0,50.0,60.0,75.0,66.66666666666666,28.57142857142857,50.0,75.0,66.66666666666666,25.0,50.0,28.57142857142857,66.66666666666666,66.66666666666666,25.0,50.0,66.66666666666666,66.66666666666666,25.0,66.66666666666666
Known Defects,36.0,37.0,37.0,36.0,35.0,36.0,37.0,36.0,35.0,36.0,37.0,36.0,35.0,35.0,36.0,37.0,35.0,35.0,36.0,35.0
Features Used,34.0,35.0,36.0,34.0,35.0,35.0,35.0,34.0,35.0,34.0,35.0,35.0,35.0,35.0,34.0,35.0,35.0,35.0,34.0,35.0
Score,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Time,3.9741837978363037,4.126875400543213,3.901271104812622,3.8868792057037354,3.936915397644043,3.9067273139953613,3.892056465148926,3.906320333480835,3.887021780014038,3.8526453971862793,4.178383827209473,4.145641565322876,3.9869329929351807,3.9678568840026855,4.0162904262542725,4.094839572906494,3.9471189975738525,3.8567893505096436,3.7970657348632812,3.873289108276367
