,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,408.0,471.0,429.0,424.0,404.0,414.0,365.0,388.0,421.0,420.0,421.0,382.0,350.0,426.0,395.0,422.0,377.0,371.0,423.0,402.0
Known Defects,54.0,62.0,52.0,54.0,65.0,52.0,71.0,50.0,63.0,58.0,51.0,56.0,58.0,56.0,63.0,70.0,54.0,61.0,76.0,72.0
Features Used,64.0,69.0,63.0,58.0,69.0,45.0,60.0,57.0,70.0,64.0,67.0,54.0,47.0,64.0,67.0,66.0,68.0,65.0,58.0,62.0
Score,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809
Valid %,0.012549739822467095,0.012753800632588512,0.014488317518620548,0.012243648607284972,0.012345679012345678,0.012651770227527804,0.012549739822467095,0.012549739822467095,0.012141618202224263,0.012039587797163555,0.012141618202224263,0.012957861442709927,0.012549739822467095,0.013468013468013467,0.011835526987042138,0.012039587797163555,0.012141618202224263,0.012243648607284972,0.012345679012345678,0.012855831037649219
Valid Cost,664.0,719.0,713.0,698.0,671.0,673.0,623.0,622.0,683.0,714.0,665.0,638.0,541.0,700.0,612.0,658.0,625.0,603.0,690.0,653.0
Valid Known Defects,82.0,68.0,76.0,69.0,74.0,66.0,89.0,67.0,64.0,71.0,66.0,75.0,77.0,65.0,75.0,83.0,76.0,75.0,84.0,71.0
Valid Features Used,74.0,85.0,74.0,71.0,83.0,55.0,77.0,77.0,66.0,65.0,73.0,62.0,65.0,74.0,73.0,95.0,82.0,72.0,67.0,72.0
Valid Score,2.4390243902439024,3.2,2.816901408450704,3.3333333333333335,5.785123966942149,3.225806451612903,13.008130081300813,1.6260162601626016,5.882352941176471,5.932203389830509,1.680672268907563,1.5748031496062993,0.8130081300813008,7.575757575757576,1.7241379310344827,4.661016949152542,9.243697478991596,3.3333333333333335,4.958677685950414,14.285714285714286
Time,7.39722752571106,7.968700408935547,8.076412200927734,7.776185989379883,7.801122426986694,7.917806625366211,8.413481712341309,8.52321743965149,8.266891479492188,9.838377952575684,8.94083309173584,9.66242527961731,8.97311544418335,8.649595022201538,9.945616245269775,10.596834659576416,10.504525184631348,9.391885995864868,9.790018796920776,9.981585502624512
