,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,348.0,334.0,387.0,362.0,332.0,331.0,374.0,344.0,351.0,355.0,366.0,361.0,364.0,358.0,338.0,366.0,372.0,370.0,391.0,322.0
Known Defects,54.0,50.0,62.0,50.0,56.0,41.0,44.0,52.0,61.0,51.0,50.0,63.0,48.0,59.0,53.0,61.0,58.0,63.0,53.0,58.0
Features Used,52.0,59.0,53.0,48.0,66.0,47.0,60.0,54.0,58.0,48.0,44.0,68.0,61.0,46.0,54.0,59.0,49.0,51.0,61.0,50.0
Score,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.010203040506070809,0.010203040506070809,0.010203040506070809
Valid %,0.012345679012345678,0.011937557392102846,0.013059891847770635,0.012549739822467095,0.012039587797163555,0.012447709417406387,0.01336598306295276,0.012753800632588512,0.012957861442709927,0.012549739822467095,0.012039587797163555,0.012243648607284972,0.012141618202224263,0.012141618202224263,0.012345679012345678,0.01336598306295276,0.012447709417406387,0.012549739822467095,0.012345679012345678,0.012345679012345678
Valid Cost,553.0,580.0,574.0,599.0,569.0,539.0,551.0,546.0,524.0,564.0,585.0,541.0,565.0,583.0,521.0,589.0,637.0,573.0,603.0,538.0
Valid Known Defects,61.0,56.0,69.0,57.0,59.0,57.0,54.0,58.0,56.0,60.0,61.0,64.0,58.0,73.0,67.0,72.0,63.0,64.0,63.0,61.0
Valid Features Used,57.0,69.0,64.0,52.0,65.0,61.0,62.0,64.0,64.0,63.0,63.0,62.0,65.0,49.0,55.0,68.0,61.0,61.0,59.0,59.0
Valid Score,3.3057851239669422,16.23931623931624,1.5625,4.878048780487805,1.694915254237288,9.01639344262295,23.66412213740458,8.8,3.937007874015748,19.91869918699187,1.271186440677966,31.666666666666668,43.27731092436975,15.966386554621849,1.6528925619834711,27.480916030534353,12.295081967213115,4.878048780487805,14.87603305785124,38.84297520661157
Time,10.06865119934082,10.166070938110352,9.391479253768921,9.573880434036255,9.18644905090332,9.5274977684021,9.405162572860718,9.665312051773071,11.039198875427246,10.595154047012329,10.155187368392944,8.733894348144531,8.313617467880249,7.9683449268341064,8.245864391326904,10.642793893814087,8.857162475585938,9.137078285217285,10.135932445526123,9.818372964859009
