,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,34.0,37.0,40.0,47.0,30.0,44.0,41.0,36.0,40.0,32.0,34.0,38.0,38.0,42.0,47.0,33.0,38.0,35.0,35.0,36.0
Known Defects,11.0,12.0,12.0,10.0,8.0,12.0,14.0,12.0,13.0,9.0,13.0,13.0,11.0,10.0,13.0,11.0,7.0,9.0,12.0,12.0
Features Used,14.0,22.0,19.0,14.0,16.0,13.0,18.0,16.0,15.0,14.0,23.0,19.0,20.0,16.0,17.0,19.0,16.0,15.0,14.0,18.0
Score,0.015304560759106214,0.015304560759106214,0.015304560759106214,0.010203040506070809,0.015304560759106214,0.015304560759106214,0.010203040506070809,0.015304560759106214,0.010203040506070809,0.03571064177124783,0.020406081012141617,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.015304560759106214,0.03571064177124783
Valid %,0.021222324252627284,0.018365472910927456,0.01928374655647383,0.019895928986838077,0.018467503315988166,0.018875624936230996,0.018467503315988166,0.018365472910927456,0.017345168860320375,0.020916233037445157,0.020099989796959494,0.017855320885623915,0.01867156412610958,0.019997959391898787,0.018467503315988166,0.02030405060708091,0.020712172227323744,0.01816141210080604,0.019385776961534536,0.018059381695745332
Valid Cost,269.0,208.0,272.0,307.0,263.0,269.0,226.0,256.0,273.0,249.0,233.0,266.0,263.0,264.0,277.0,218.0,267.0,270.0,239.0,234.0
Valid Known Defects,31.0,38.0,22.0,29.0,27.0,34.0,29.0,34.0,35.0,29.0,30.0,31.0,37.0,29.0,34.0,33.0,32.0,28.0,31.0,24.0
Valid Features Used,27.0,27.0,35.0,33.0,31.0,28.0,32.0,30.0,28.0,32.0,33.0,29.0,34.0,32.0,34.0,30.0,26.0,26.0,29.0,25.0
Valid Score,18.509615384615383,31.666666666666668,34.92063492063492,15.384615384615385,19.337016574585636,17.2972972972973,4.143646408839779,6.666666666666667,17.352941176470587,4.390243902439025,31.472081218274113,12.571428571428571,30.601092896174862,4.591836734693878,9.392265193370166,1.7587939698492463,63.793103448275865,29.775280898876403,11.578947368421053,1.1299435028248588
Time,2.871324062347412,2.794529438018799,2.837415933609009,2.926177978515625,2.9710586071014404,2.806497812271118,3.072786569595337,4.50595498085022,5.591058731079102,3.050844669342041,3.367000102996826,2.8254475593566895,3.1495816707611084,3.29325795173645,3.3261094093322754,2.950113534927368,3.1326258182525635,3.077773332595825,3.1416025161743164,3.0548343658447266
