,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,382.0,341.0,353.0,379.0,367.0,382.0,375.0,388.0,343.0,378.0,385.0,360.0,390.0,334.0,391.0,372.0,366.0,395.0,373.0,355.0
Known Defects,48.0,54.0,61.0,44.0,56.0,57.0,55.0,55.0,54.0,52.0,61.0,50.0,60.0,58.0,50.0,54.0,61.0,61.0,64.0,55.0
Features Used,50.0,53.0,65.0,45.0,64.0,56.0,62.0,58.0,55.0,57.0,54.0,63.0,55.0,59.0,53.0,61.0,49.0,67.0,59.0,61.0
Score,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809
Valid %,0.011631466176920723,0.010509131721252934,0.011529435771860014,0.011427405366799306,0.010611162126313642,0.011325374961738598,0.011121314151617183,0.011121314151617183,0.011529435771860014,0.011019283746556474,0.011121314151617183,0.011019283746556474,0.010713192531374349,0.010713192531374349,0.010509131721252934,0.010509131721252934,0.011019283746556474,0.011121314151617183,0.010917253341495766,0.01122334455667789
Valid Cost,642.0,510.0,544.0,641.0,591.0,609.0,563.0,600.0,512.0,601.0,594.0,566.0,643.0,560.0,621.0,607.0,634.0,628.0,614.0,569.0
Valid Known Defects,63.0,64.0,69.0,63.0,71.0,68.0,68.0,68.0,72.0,65.0,67.0,65.0,62.0,71.0,64.0,61.0,66.0,71.0,79.0,60.0
Valid Features Used,70.0,63.0,72.0,65.0,76.0,67.0,72.0,64.0,64.0,67.0,65.0,70.0,60.0,70.0,68.0,63.0,64.0,70.0,65.0,66.0
Valid Score,6.140350877192983,3.883495145631068,14.601769911504425,6.696428571428571,10.576923076923077,2.2522522522522523,0.9174311926605505,10.55045871559633,0.8849557522123894,7.87037037037037,1.3761467889908257,3.7037037037037037,14.285714285714286,24.761904761904763,7.766990291262136,32.03883495145631,0.9259259259259259,13.302752293577981,11.682242990654206,1.8181818181818181
Time,8.825599670410156,8.613666772842407,8.66068410873413,10.171073198318481,11.106056213378906,9.303836345672607,9.084977865219116,9.382948160171509,9.197999000549316,10.63615369796753,9.283408641815186,9.342334508895874,9.64631175994873,8.484362840652466,12.666720151901245,9.698334217071533,9.59353232383728,8.827499151229858,8.674293756484985,8.575330972671509
