,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,366.0,364.0,347.0,326.0,359.0,361.0,387.0,380.0,354.0,364.0,364.0,355.0,396.0,332.0,378.0,403.0,387.0,311.0,358.0,362.0
Known Defects,55.0,61.0,56.0,59.0,56.0,52.0,51.0,57.0,51.0,55.0,64.0,53.0,52.0,55.0,49.0,51.0,59.0,45.0,53.0,56.0
Features Used,41.0,56.0,58.0,58.0,55.0,51.0,51.0,61.0,57.0,54.0,44.0,45.0,50.0,61.0,50.0,62.0,66.0,54.0,51.0,51.0
Score,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809
Valid %,0.012447709417406387,0.014590347923681257,0.011733496581981431,0.012753800632588512,0.012855831037649219,0.012243648607284972,0.012957861442709927,0.011631466176920723,0.012447709417406387,0.012447709417406387,0.012855831037649219,0.012345679012345678,0.012753800632588512,0.012141618202224263,0.012141618202224263,0.012141618202224263,0.012345679012345678,0.012651770227527804,0.012957861442709927,0.012345679012345678
Valid Cost,582.0,533.0,561.0,520.0,566.0,602.0,584.0,592.0,565.0,548.0,564.0,575.0,615.0,502.0,587.0,612.0,609.0,525.0,565.0,597.0
Valid Known Defects,74.0,72.0,67.0,69.0,64.0,59.0,58.0,68.0,65.0,60.0,62.0,65.0,66.0,56.0,61.0,65.0,65.0,59.0,63.0,63.0
Valid Features Used,62.0,61.0,63.0,56.0,63.0,73.0,68.0,72.0,59.0,55.0,51.0,57.0,59.0,66.0,52.0,61.0,61.0,64.0,64.0,79.0
Valid Score,1.639344262295082,2.097902097902098,1.7391304347826086,3.2,1.5873015873015872,0.8333333333333334,7.874015748031496,0.8771929824561403,1.639344262295082,1.639344262295082,3.1746031746031744,1.2396694214876034,2.4,0.8403361344537815,2.5210084033613445,1.680672268907563,2.8925619834710745,2.4193548387096775,0.7874015748031497,1.2396694214876034
Time,9.032355785369873,8.907891511917114,8.853493690490723,10.675123691558838,8.876930952072144,9.094664096832275,9.547437906265259,9.558885335922241,9.455360174179077,9.087642431259155,10.215668678283691,10.866495132446289,9.667237281799316,10.446502208709717,9.816958665847778,9.293390989303589,9.385313987731934,9.643135070800781,9.32676887512207,9.418344974517822
