,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,345.0,337.0,347.0,426.0,297.0,335.0,372.0,335.0,382.0,371.0,348.0,327.0,386.0,333.0,365.0,379.0,348.0,371.0,334.0,355.0
Known Defects,45.0,53.0,56.0,59.0,54.0,64.0,45.0,51.0,49.0,61.0,55.0,47.0,57.0,58.0,42.0,61.0,58.0,60.0,59.0,51.0
Features Used,54.0,48.0,64.0,55.0,58.0,59.0,44.0,61.0,48.0,57.0,43.0,50.0,63.0,61.0,51.0,44.0,53.0,57.0,47.0,54.0
Score,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809
Valid %,0.011631466176920723,0.011019283746556474,0.011733496581981431,0.011529435771860014,0.011631466176920723,0.011325374961738598,0.011325374961738598,0.010713192531374349,0.011529435771860014,0.011325374961738598,0.011121314151617183,0.011529435771860014,0.011937557392102846,0.010815222936435057,0.011325374961738598,0.011427405366799306,0.01122334455667789,0.011325374961738598,0.011427405366799306,0.011325374961738598
Valid Cost,550.0,575.0,570.0,630.0,494.0,524.0,596.0,531.0,583.0,579.0,537.0,545.0,576.0,546.0,614.0,576.0,583.0,555.0,560.0,581.0
Valid Known Defects,65.0,62.0,61.0,68.0,70.0,64.0,62.0,60.0,61.0,66.0,62.0,63.0,67.0,66.0,57.0,63.0,68.0,52.0,71.0,62.0
Valid Features Used,68.0,67.0,68.0,62.0,57.0,59.0,57.0,64.0,53.0,62.0,60.0,63.0,68.0,70.0,51.0,58.0,65.0,61.0,63.0,59.0
Valid Score,19.29824561403509,9.25925925925926,5.217391304347826,4.424778761061947,1.7543859649122806,14.864864864864865,0.9009009009009009,18.571428571428573,5.3097345132743365,24.774774774774773,2.7522935779816513,3.0973451327433628,1.7094017094017093,22.169811320754718,1.8018018018018018,1.7857142857142858,7.2727272727272725,0.9009009009009009,0.8928571428571429,1.3513513513513513
Time,7.886319637298584,7.9422829151153564,8.307983160018921,8.320096015930176,8.153988122940063,8.129961729049683,8.444753408432007,8.113919973373413,8.178458452224731,8.212689638137817,9.912550926208496,8.933385610580444,8.817556142807007,9.108484745025635,9.337388038635254,9.424732208251953,9.181391477584839,9.599260091781616,8.993252992630005,9.149168014526367
