,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,27.0,31.0,33.0,26.0,28.0,23.0,31.0,26.0,29.0,25.0,26.0,27.0,37.0,25.0,27.0,29.0,27.0,33.0,27.0,25.0
Known Defects,6.0,8.0,9.0,9.0,10.0,4.0,11.0,8.0,7.0,5.0,9.0,10.0,7.0,11.0,14.0,7.0,8.0,10.0,11.0,7.0
Features Used,13.0,16.0,17.0,14.0,17.0,11.0,17.0,17.0,16.0,14.0,14.0,15.0,15.0,16.0,15.0,12.0,15.0,17.0,14.0,13.0
Score,0.010203040506070809,0.05101520253035405,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.015304560759106214,0.040812162024283234,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.015304560759106214,0.020406081012141617,0.015304560759106214,0.025507601265177024,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.020406081012141617,0.010203040506070809,0.010203040506070809
Valid %,0.027242118151209062,0.02356902356902357,0.02611978369554127,0.02714008774614835,0.032445668809305175,0.02183450668299153,0.027650239771451892,0.027956330986634016,0.02458932761963065,0.029588817467605347,0.022344658708295072,0.027446178961330475,0.028976635037241096,0.024283236404448526,0.02611978369554127,0.02836445260687685,0.024181205999387816,0.023160901948780736,0.027446178961330475,0.02356902356902357
Valid Cost,197.0,191.0,204.0,224.0,212.0,236.0,173.0,221.0,202.0,207.0,214.0,174.0,203.0,153.0,191.0,221.0,258.0,192.0,180.0,247.0
Valid Known Defects,21.0,19.0,26.0,20.0,24.0,25.0,20.0,21.0,24.0,18.0,30.0,20.0,26.0,26.0,23.0,22.0,20.0,25.0,28.0,21.0
Valid Features Used,15.0,25.0,24.0,24.0,25.0,22.0,22.0,30.0,26.0,17.0,19.0,20.0,20.0,23.0,23.0,24.0,25.0,24.0,24.0,18.0
Valid Score,33.333333333333336,17.748917748917748,35.15625,5.639097744360902,26.729559748427672,14.953271028037383,1.845018450184502,40.87591240875913,12.033195020746888,32.41379310344828,24.200913242009133,19.702602230483272,17.253521126760564,44.53781512605042,16.6015625,16.906474820143885,13.080168776371307,45.15418502202643,22.676579925650557,25.541125541125542
Time,2.160226583480835,2.034536838531494,2.026583194732666,2.1752099990844727,2.1203320026397705,2.052485466003418,2.0385475158691406,1.9876868724822998,2.0495247840881348,2.0874500274658203,2.0046701431274414,1.9956367015838623,2.0335922241210938,2.100843906402588,2.1382832527160645,2.1372873783111572,2.1552371978759766,2.0355589389801025,2.032567262649536,2.092406988143921
