,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,37.0,36.0,33.0,33.0,38.0,28.0,29.0,26.0,40.0,26.0,35.0,37.0,35.0,34.0,30.0,31.0,26.0,38.0,29.0,32.0
Known Defects,14.0,10.0,13.0,13.0,13.0,9.0,15.0,11.0,9.0,16.0,9.0,14.0,14.0,12.0,9.0,10.0,10.0,11.0,14.0,11.0
Features Used,23.0,17.0,17.0,18.0,19.0,16.0,22.0,18.0,21.0,20.0,18.0,20.0,20.0,16.0,18.0,19.0,18.0,25.0,23.0,19.0
Score,0.015304560759106214,0.010203040506070809,0.015304560759106214,0.015304560759106214,0.015304560759106214,0.015304560759106214,0.010203040506070809,0.020406081012141617,0.010203040506070809,0.015304560759106214,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.015304560759106214,0.015304560759106214,0.015304560759106214,0.015304560759106214,0.010203040506070809,0.010203040506070809
Valid %,0.024487297214569943,0.025711662075298437,0.023466993163962863,0.025201510049994897,0.027038057341087645,0.026527905315784105,0.027752270176512602,0.024487297214569943,0.026221814100601978,0.02407917559432711,0.02673196612590552,0.027446178961330475,0.03040506070809101,0.022752780328537905,0.025711662075298437,0.028262422201816143,0.02407917559432711,0.02458932761963065,0.028670543822058973,0.028160391796755432
Valid Cost,142.0,175.0,145.0,159.0,176.0,154.0,156.0,164.0,165.0,167.0,153.0,133.0,158.0,178.0,143.0,160.0,150.0,147.0,121.0,175.0
Valid Known Defects,22.0,17.0,21.0,19.0,22.0,15.0,19.0,20.0,19.0,17.0,14.0,14.0,20.0,18.0,15.0,10.0,17.0,18.0,14.0,18.0
Valid Features Used,23.0,19.0,11.0,18.0,18.0,11.0,20.0,21.0,21.0,15.0,22.0,19.0,18.0,17.0,21.0,23.0,21.0,20.0,18.0,21.0
Valid Score,46.25,36.904761904761905,30.652173913043477,14.979757085020243,43.77358490566038,45.76923076923077,66.17647058823529,36.041666666666664,39.29961089494164,62.71186440677966,14.885496183206106,10.966542750929367,41.61073825503356,60.53811659192825,26.58730158730159,1.8050541516245486,38.771186440677965,11.203319502074688,33.096085409252666,33.15217391304348
Time,2.832427978515625,2.86334490776062,3.0558032989501953,2.673851728439331,3.117666482925415,4.153896808624268,3.04581618309021,3.2513089179992676,3.1136765480041504,3.295192241668701,3.192467212677002,3.0657739639282227,3.3171331882476807,2.983995199203491,2.8593270778656006,2.786522388458252,3.1665353775024414,3.0029449462890625,3.7210536003112793,3.3650035858154297
