,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,80.0,78.0,89.0,93.0,97.0,93.0,103.0,96.0,122.0,98.0,115.0,86.0,92.0,87.0,102.0,93.0,79.0,104.0,98.0,78.0
Known Defects,21.0,21.0,13.0,15.0,16.0,18.0,20.0,24.0,21.0,23.0,21.0,18.0,19.0,24.0,21.0,19.0,26.0,24.0,19.0,26.0
Features Used,23.0,19.0,18.0,23.0,20.0,17.0,16.0,27.0,23.0,22.0,20.0,22.0,27.0,21.0,25.0,15.0,26.0,16.0,22.0,28.0
Score,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.015304560759106214,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.015304560759106214,0.010203040506070809,0.010203040506070809,0.010203040506070809,0.010203040506070809
Valid %,0.03438424650545863,0.03550658096112642,0.02611978369554127,0.027752270176512602,0.03305785123966942,0.03387409448015508,0.03101724313845526,0.036016732986429954,0.03203754718906234,0.033465972859912256,0.03173145597388022,0.031119273543515968,0.031119273543515968,0.029588817467605347,0.030813182328333844,0.035098459340883584,0.03173145597388022,0.03040506070809101,0.02948678706254464,0.03550658096112642
Valid Cost,261.0,228.0,274.0,310.0,293.0,284.0,269.0,298.0,322.0,257.0,290.0,248.0,276.0,266.0,301.0,268.0,236.0,279.0,289.0,194.0
Valid Known Defects,31.0,35.0,32.0,27.0,35.0,32.0,31.0,28.0,31.0,34.0,32.0,31.0,26.0,34.0,28.0,27.0,27.0,31.0,31.0,30.0
Valid Features Used,28.0,30.0,31.0,37.0,28.0,37.0,25.0,28.0,34.0,36.0,29.0,25.0,27.0,33.0,25.0,26.0,22.0,31.0,39.0,26.0
Valid Score,15.72700296735905,6.896551724137931,1.171875,15.441176470588236,23.919753086419753,0.9036144578313253,2.6315789473684212,2.26628895184136,15.92356687898089,6.402439024390244,0.8038585209003215,5.573770491803279,8.19672131147541,5.172413793103448,3.3112582781456954,2.616279069767442,13.504823151125402,13.422818791946309,3.633217993079585,24.137931034482758
Time,4.951496601104736,5.41413688659668,4.656864404678345,5.11175012588501,5.0837132930755615,4.8022966384887695,5.0525429248809814,5.310469627380371,5.153982400894165,5.769030570983887,5.10146951675415,4.822886943817139,4.701489448547363,4.688765287399292,5.09241509437561,5.343693733215332,5.702467679977417,5.482679128646851,5.3562304973602295,5.257056951522827
