,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,35.0,53.0,61.0,65.0,56.0,63.0,53.0,58.0,56.0,47.0,78.0,48.0,52.0,40.0,44.0,56.0,40.0,34.0,64.0,59.0
Known Defects,6.0,14.0,17.0,12.0,13.0,14.0,18.0,15.0,13.0,10.0,14.0,12.0,12.0,13.0,13.0,16.0,12.0,12.0,16.0,12.0
Features Used,11.0,16.0,19.0,14.0,17.0,16.0,19.0,17.0,13.0,12.0,19.0,13.0,9.0,16.0,20.0,23.0,14.0,11.0,21.0,18.0
Score,0.15274949083503056,0.10183299389002037,0.5091649694501018,0.10183299389002037,0.10183299389002037,0.15274949083503056,0.10183299389002037,0.10183299389002037,0.15274949083503056,0.10183299389002037,0.10183299389002037,0.15274949083503056,0.15274949083503056,0.10183299389002037,0.20366598778004075,0.4073319755600815,0.10183299389002037,0.10183299389002037,0.10183299389002037,0.15274949083503056
Valid %,0.10590631364562118,0.1079429735234216,0.109979633401222,0.10896130346232179,0.109979633401222,0.109979633401222,0.10896130346232179,0.10183299389002037,0.10590631364562118,0.10488798370672098,0.10590631364562118,0.1079429735234216,0.10386965376782077,0.10488798370672098,0.10692464358452139,0.1120162932790224,0.109979633401222,0.109979633401222,0.10896130346232179,0.1079429735234216
Valid Cost,255.0,271.0,278.0,299.0,296.0,269.0,256.0,299.0,264.0,280.0,293.0,255.0,288.0,264.0,248.0,235.0,257.0,246.0,229.0,260.0
Valid Known Defects,25.0,34.0,32.0,30.0,22.0,32.0,36.0,36.0,29.0,32.0,31.0,32.0,28.0,26.0,22.0,32.0,27.0,24.0,28.0,28.0
Valid Features Used,29.0,24.0,29.0,32.0,32.0,27.0,31.0,29.0,30.0,34.0,29.0,21.0,23.0,35.0,41.0,32.0,23.0,23.0,33.0,29.0
Valid Score,21.153846153846153,14.150943396226415,36.111111111111114,14.953271028037383,8.796296296296296,25.462962962962962,26.16822429906542,18.0,22.115384615384617,27.184466019417474,0.9615384615384616,3.7735849056603774,51.96078431372549,32.03883495145631,9.047619047619047,19.09090909090909,31.48148148148148,13.88888888888889,10.280373831775702,6.60377358490566
Time,0.41286754608154297,0.47273755073547363,0.4607675075531006,0.4298512935638428,0.4029233455657959,0.44381284713745117,0.45378708839416504,0.4198780059814453,0.42985105514526367,0.40392041206359863,0.39294958114624023,0.4079098701477051,0.388960599899292,0.3969388008117676,0.4049184322357178,0.3879508972167969,0.3869659900665283,0.3969390392303467,0.3999309539794922,0.39394688606262207
