,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
User Picked,6.0,9.0,5.0,10.0,13.0,7.0,8.0,4.0,10.0,6.0,10.0,8.0,8.0,12.0,6.0,5.0,5.0,5.0,10.0,10.0
Cost,538.0,535.0,536.0,536.0,532.0,536.0,538.0,536.0,536.0,538.0,537.0,538.0,535.0,534.0,539.0,538.0,536.0,540.0,537.0,536.0
Selected Points,50.0,33.33333333333333,60.0,30.0,7.6923076923076925,28.57142857142857,37.5,75.0,30.0,50.0,30.0,37.5,37.5,16.666666666666664,50.0,60.0,60.0,60.0,30.0,30.0
Known Defects,61.0,60.0,61.0,62.0,60.0,61.0,61.0,61.0,62.0,62.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,62.0,61.0,62.0
Features Used,60.0,61.0,60.0,60.0,59.0,60.0,60.0,60.0,60.0,61.0,61.0,60.0,61.0,60.0,61.0,60.0,60.0,61.0,61.0,60.0
Score,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
