,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
User Picked,7.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,7.0,8.0,4.0,8.0,6.0,6.0,4.0,5.0,5.0,7.0,6.0,6.0
Cost,298.0,296.0,295.0,295.0,294.0,296.0,294.0,294.0,298.0,298.0,294.0,300.0,298.0,295.0,294.0,290.0,294.0,298.0,298.0,298.0
Selected Points,57.14285714285714,50.0,66.66666666666666,66.66666666666666,80.0,50.0,80.0,80.0,57.14285714285714,50.0,100.0,50.0,66.66666666666666,66.66666666666666,100.0,60.0,80.0,57.14285714285714,66.66666666666666,66.66666666666666
Known Defects,39.0,39.0,37.0,39.0,39.0,39.0,39.0,39.0,38.0,38.0,39.0,40.0,39.0,37.0,39.0,37.0,39.0,38.0,39.0,39.0
Features Used,32.0,32.0,30.0,31.0,31.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,30.0,31.0,30.0,31.0,31.0,32.0,32.0
Score,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
