,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
User Picked,6.0,9.0,6.0,8.0,4.0,6.0,4.0,4.0,9.0,10.0,4.0,5.0,8.0,7.0,3.0,4.0,8.0,6.0,4.0,10.0
Cost,218.0,223.0,218.0,225.0,218.0,221.0,218.0,225.0,223.0,225.0,225.0,219.0,225.0,224.0,224.0,217.0,222.0,221.0,225.0,222.0
Selected Points,66.66666666666666,66.66666666666666,66.66666666666666,62.5,75.0,83.33333333333334,75.0,75.0,66.66666666666666,70.0,75.0,80.0,75.0,57.14285714285714,66.66666666666666,75.0,75.0,83.33333333333334,75.0,60.0
Known Defects,25.0,26.0,25.0,26.0,24.0,24.0,24.0,25.0,26.0,26.0,25.0,24.0,26.0,25.0,25.0,25.0,25.0,24.0,25.0,27.0
Features Used,27.0,29.0,27.0,29.0,27.0,28.0,27.0,26.0,29.0,30.0,26.0,27.0,30.0,29.0,26.0,27.0,28.0,28.0,26.0,29.0
Score,0.01,0.015,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
