,QuestionsAsked,Total,Good,Precision
0,67,18,6,0.3333333333333333
1,59,18,6,0.3333333333333333
2,56,18,6,0.3333333333333333
3,62,18,6,0.3333333333333333
4,58,18,6,0.3333333333333333
5,112,18,6,0.3333333333333333
6,72,18,6,0.3333333333333333
7,71,18,6,0.3333333333333333
8,81,18,6,0.3333333333333333
9,95,18,6,0.3333333333333333
10,112,18,6,0.3333333333333333
11,88,18,6,0.3333333333333333
12,79,18,6,0.3333333333333333
13,97,18,6,0.3333333333333333
14,105,18,6,0.3333333333333333
15,49,18,6,0.3333333333333333
16,69,18,6,0.3333333333333333
17,44,18,6,0.3333333333333333
18,72,18,6,0.3333333333333333
19,84,18,6,0.3333333333333333
