,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
User Picked,10.0,9.0,12.0,12.0,7.0,10.0,9.0,11.0,11.0,10.0,13.0,9.0,10.0,9.0,11.0,9.0,12.0,12.0,12.0,12.0
Cost,231.0,229.0,229.0,229.0,234.0,228.0,230.0,228.0,229.0,232.0,229.0,228.0,231.0,230.0,228.0,234.0,229.0,227.0,229.0,227.0
Selected Points,60.0,66.66666666666666,66.66666666666666,66.66666666666666,71.42857142857143,70.0,66.66666666666666,54.54545454545454,63.63636363636363,70.0,61.53846153846154,66.66666666666666,60.0,55.55555555555556,72.72727272727273,55.55555555555556,66.66666666666666,58.333333333333336,66.66666666666666,58.333333333333336
Known Defects,36.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,36.0,36.0,36.0,35.0,37.0,36.0,35.0,36.0,36.0,35.0,36.0,35.0
Features Used,31.0,33.0,33.0,33.0,30.0,30.0,30.0,30.0,31.0,31.0,33.0,32.0,33.0,32.0,32.0,29.0,33.0,31.0,33.0,31.0
Score,0.001,0.0015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
