,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
User Picked,6.0,9.0,2.0,3.0,3.0,11.0,10.0,2.0,5.0,6.0,7.0,12.0,7.0,5.0,7.0,11.0,5.0,9.0,9.0,5.0
Cost,564.0,569.0,565.0,565.0,565.0,562.0,564.0,561.0,566.0,561.0,565.0,565.0,564.0,566.0,565.0,562.0,564.0,569.0,566.0,566.0
Selected Points,50.0,44.44444444444444,100.0,66.66666666666666,66.66666666666666,27.27272727272727,40.0,50.0,40.0,33.33333333333333,42.857142857142854,33.33333333333333,28.57142857142857,40.0,42.857142857142854,27.27272727272727,60.0,44.44444444444444,33.33333333333333,40.0
Known Defects,83.0,85.0,83.0,83.0,83.0,84.0,83.0,82.0,83.0,82.0,83.0,84.0,82.0,83.0,84.0,84.0,83.0,85.0,83.0,83.0
Features Used,63.0,63.0,63.0,63.0,63.0,62.0,63.0,62.0,63.0,62.0,63.0,63.0,63.0,63.0,63.0,62.0,63.0,63.0,63.0,63.0
Score,0.01,0.01,0.01,0.015,0.015,0.01,0.01,0.015,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.01,0.015,0.01,0.01,0.01
