,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
User Picked,8.0,10.0,7.0,9.0,9.0,7.0,9.0,8.0,10.0,9.0,9.0,7.0,8.0,10.0,9.0,8.0,9.0,11.0,11.0,9.0
Cost,768.0,768.0,766.0,768.0,765.0,768.0,765.0,769.0,768.0,768.0,765.0,766.0,768.0,768.0,765.0,766.0,769.0,767.0,767.0,765.0
Selected Points,25.0,20.0,28.57142857142857,22.22222222222222,22.22222222222222,42.857142857142854,22.22222222222222,37.5,30.0,33.33333333333333,11.11111111111111,28.57142857142857,37.5,30.0,11.11111111111111,37.5,33.33333333333333,27.27272727272727,18.181818181818183,11.11111111111111
Known Defects,90.0,90.0,89.0,90.0,89.0,91.0,89.0,91.0,90.0,91.0,89.0,89.0,91.0,91.0,89.0,90.0,91.0,90.0,90.0,89.0
Features Used,88.0,88.0,89.0,88.0,89.0,91.0,89.0,91.0,88.0,91.0,89.0,89.0,91.0,91.0,89.0,90.0,91.0,90.0,90.0,89.0
Score,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
