Asked,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0
User Picked,6.0,8.0,11.0,9.0,10.0,11.0,8.0,10.0,10.0,6.0,6.0,8.0,6.0,6.0,6.0,8.0,8.0,8.0,9.0,8.0
Cost,260.0,257.0,266.0,260.0,261.0,262.0,265.0,261.0,257.0,267.0,267.0,257.0,267.0,270.0,267.0,262.0,261.0,257.0,262.0,262.0
Selected Points,66.66666666666666,62.5,54.54545454545454,44.44444444444444,50.0,54.54545454545454,62.5,50.0,50.0,66.66666666666666,66.66666666666666,62.5,66.66666666666666,66.66666666666666,66.66666666666666,62.5,62.5,62.5,66.66666666666666,75.0
Known Defects,25.0,26.0,25.0,25.0,26.0,24.0,25.0,26.0,25.0,23.0,23.0,25.0,23.0,25.0,23.0,25.0,26.0,25.0,24.0,25.0
Features Used,27.0,27.0,29.0,27.0,28.0,28.0,27.0,28.0,26.0,28.0,28.0,26.0,28.0,28.0,28.0,27.0,27.0,26.0,27.0,27.0
Score,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.01,0.01,0.01,0.015

Time = 5 minutes total.
