,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0
User Picked,11.0,9.0,13.0,13.0,9.0,12.0,12.0,12.0,12.0,7.0,13.0,12.0,10.0,13.0,11.0,13.0,11.0,12.0,13.0,11.0
Cost,612.0,616.0,613.0,613.0,614.0,615.0,616.0,616.0,612.0,614.0,614.0,613.0,616.0,615.0,617.0,615.0,616.0,615.0,613.0,615.0
Selected Points,27.27272727272727,44.44444444444444,46.15384615384615,38.46153846153847,66.66666666666666,50.0,33.33333333333333,33.33333333333333,33.33333333333333,71.42857142857143,46.15384615384615,33.33333333333333,40.0,30.76923076923077,36.36363636363637,30.76923076923077,36.36363636363637,33.33333333333333,30.76923076923077,36.36363636363637
Known Defects,63.0,64.0,64.0,64.0,63.0,63.0,63.0,62.0,63.0,62.0,63.0,62.0,62.0,64.0,63.0,64.0,64.0,61.0,64.0,64.0
Features Used,64.0,64.0,65.0,65.0,65.0,64.0,65.0,64.0,64.0,63.0,65.0,64.0,63.0,66.0,64.0,66.0,65.0,63.0,65.0,65.0
Score,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
