,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
User Picked,2.0,2.0,6.0,4.0,4.0,4.0,4.0,6.0,8.0,10.0,6.0,4.0,2.0,6.0,8.0,8.0,6.0,8.0,8.0,6.0
Cost,716.0,716.0,716.0,718.0,718.0,716.0,718.0,718.0,716.0,718.0,718.0,718.0,716.0,718.0,718.0,716.0,716.0,718.0,716.0,716.0
Selected Points,50.0,50.0,16.666666666666664,50.0,50.0,25.0,50.0,33.33333333333333,12.5,20.0,33.33333333333333,50.0,50.0,33.33333333333333,25.0,12.5,16.666666666666664,25.0,12.5,16.666666666666664
Known Defects,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0
Features Used,75.0,75.0,75.0,76.0,76.0,75.0,76.0,76.0,75.0,76.0,76.0,76.0,75.0,76.0,76.0,75.0,75.0,76.0,75.0,75.0
Score,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
